pathway	prob	threshold	decision_strategy	label
RDC	5.6e-4	0.014	mced_test	
RDC	0.00102	0.015	mced_test	
RDC	0.0022	0.016	mced_test	
RDC	0.0044	0.017	mced_test	
RDC	0.00772	0.018000000000000002	mced_test	
RDC	0.01222	0.019	mced_test	
RDC	0.01804	0.02	mced_test	
RDC	0.02706	0.021	mced_test	
RDC	0.03768	0.022	mced_test	
RDC	0.05294	0.023	mced_test	
RDC	0.0719	0.024	mced_test	
RDC	0.09574	0.025	mced_test	
RDC	0.1225	0.026000000000000002	mced_test	
RDC	0.15586	0.027	mced_test	
RDC	0.19152	0.028	mced_test	
RDC	0.22888	0.029	mced_test	
RDC	0.27358	0.03	mced_test	
RDC	0.31686	0.031	mced_test	
RDC	0.35942	0.032	mced_test	
RDC	0.41034	0.033	mced_test	
RDC	0.45964	0.034	mced_test	
RDC	0.5102	0.035	mced_test	
RDC	0.54982	0.036000000000000004	mced_test	
RDC	0.6011	0.037	mced_test	
RDC	0.63832	0.038	mced_test	
RDC	0.68182	0.039	mced_test	
RDC	0.72062	0.04	mced_test	
RDC	0.75374	0.041	mced_test	
RDC	0.78734	0.042	mced_test	
RDC	0.81802	0.043000000000000003	mced_test	
RDC	0.84286	0.044	mced_test	
RDC	0.86472	0.045	mced_test	
RDC	0.88742	0.046	mced_test	
RDC	0.90432	0.047	mced_test	
RDC	0.92008	0.048	mced_test	
RDC	0.9317	0.049	mced_test	
RDC	0.94434	0.05	mced_test	
RDC	0.95328	0.051000000000000004	mced_test	
RDC	0.96264	0.052000000000000005	mced_test	
RDC	0.96928	0.053	mced_test	
RDC	0.97458	0.054	mced_test	
RDC	0.97928	0.055	mced_test	
RDC	0.98366	0.056	mced_test	
RDC	0.98736	0.057	mced_test	
RDC	0.98966	0.058	mced_test	
RDC	0.99154	0.059000000000000004	mced_test	
RDC	0.9935	0.06	mced_test	
RDC	0.9948	0.061	mced_test	
RDC	0.9956	0.062	mced_test	
RDC	0.9967	0.063	mced_test	
RDC	0.9977	0.064	mced_test	
RDC	0.99784	0.065	mced_test	
RDC	0.99846	0.066	mced_test	
RDC	0.99878	0.067	mced_test	
RDC	0.9992	0.068	mced_test	
RDC	0.99916	0.069	mced_test	
RDC	0.99924	0.07	mced_test	
RDC	0.9995	0.07100000000000001	mced_test	
RDC	0.99968	0.07200000000000001	mced_test	
RDC	0.99976	0.073	mced_test	
RDC	0.99984	0.074	mced_test	
RDC	0.99984	0.075	mced_test	
Upper GI	0	1e-9	mced_test	
Upper GI	0	0.001	mced_test	
Upper GI	2e-5	0.002	mced_test	
Upper GI	7.4e-4	0.003	mced_test	
Upper GI	0.00678	0.004	mced_test	
Upper GI	0.02802	0.005	mced_test	
Upper GI	0.08084	0.006	mced_test	
Upper GI	0.16058	0.007	mced_test	
Upper GI	0.26958	0.008	mced_test	
Upper GI	0.39758	0.009000000000000001	mced_test	
Upper GI	0.52462	0.01	mced_test	
Upper GI	0.64564	0.011	mced_test	
Upper GI	0.74198	0.012	mced_test	
Upper GI	0.82012	0.013000000000000001	mced_test	
Upper GI	0.88338	0.014	mced_test	
Upper GI	0.92452	0.015	mced_test	
Upper GI	0.9526	0.016	mced_test	
Upper GI	0.97254	0.017	mced_test	
Upper GI	0.98262	0.018000000000000002	mced_test	
Upper GI	0.99	0.019	mced_test	
Upper GI	0.99386	0.02	mced_test	
Upper GI	0.99692	0.021	mced_test	
Upper GI	0.99804	0.022	mced_test	
Upper GI	0.99902	0.023	mced_test	
Upper GI	0.9996	0.024	mced_test	
Upper GI	0.99972	0.025	mced_test	
Upper GI	0.9999	0.026000000000000002	mced_test	
Upper GI	0.99988	0.027	mced_test	
Upper GI	0.99992	0.028	mced_test	
Upper GI	1	0.029	mced_test	
Upper GI	0.99998	0.03	mced_test	
Upper GI	1	0.031	mced_test	
Upper GI	1	0.032	mced_test	
Upper GI	1	0.033	mced_test	
Upper GI	1	0.034	mced_test	
Upper GI	1	0.035	mced_test	
Upper GI	1	0.036000000000000004	mced_test	
Upper GI	1	0.037	mced_test	
Upper GI	1	0.038	mced_test	
Upper GI	1	0.039	mced_test	
Upper GI	1	0.04	mced_test	
Upper GI	1	0.041	mced_test	
Upper GI	1	0.042	mced_test	
Upper GI	1	0.043000000000000003	mced_test	
Upper GI	1	0.044	mced_test	
Upper GI	1	0.045	mced_test	
Upper GI	1	0.046	mced_test	
Upper GI	1	0.047	mced_test	
Upper GI	1	0.048	mced_test	
Upper GI	1	0.049	mced_test	
Upper GI	1	0.05	mced_test	
Upper GI	1	0.051000000000000004	mced_test	
Upper GI	1	0.052000000000000005	mced_test	
Upper GI	1	0.053	mced_test	
Upper GI	1	0.054	mced_test	
Upper GI	1	0.055	mced_test	
Upper GI	1	0.056	mced_test	
Upper GI	1	0.057	mced_test	
Upper GI	1	0.058	mced_test	
Upper GI	1	0.059000000000000004	mced_test	
Upper GI	1	0.06	mced_test	
Upper GI	1	0.061	mced_test	
Upper GI	1	0.062	mced_test	
Upper GI	1	0.063	mced_test	
Upper GI	1	0.064	mced_test	
Upper GI	1	0.065	mced_test	
Upper GI	1	0.066	mced_test	
Upper GI	1	0.067	mced_test	
Upper GI	1	0.068	mced_test	
Upper GI	1	0.069	mced_test	
Upper GI	1	0.07	mced_test	
Upper GI	1	0.07100000000000001	mced_test	
Upper GI	1	0.07200000000000001	mced_test	
Upper GI	1	0.073	mced_test	
Upper GI	1	0.074	mced_test	
Upper GI	1	0.075	mced_test	
